iter	Passed	Remaining
947	29100	1596
948	29128	1565
949	29156	1534
950	29185	1503
951	29219	1473
952	29250	1442
953	29280	1411
954	29308	1381
955	29336	1350
956	29367	1319
957	29396	1288
958	29424	1257
959	29452	1227
960	29482	1196
961	29512	1165
962	29540	1134
963	29569	1104
964	29597	1073
965	29626	1042
966	29655	1012
967	29686	981
968	29717	950
969	29746	919
970	29774	889
971	29803	858
972	29834	827
973	29863	797
974	29892	766
975	29930	736
976	29967	705
977	29994	674
978	30022	644
979	30050	613
980	30079	582
981	30107	551
982	30137	521
983	30171	490
984	30199	459
985	30227	429
986	30255	398
987	30285	367
988	30313	337
989	30347	306
990	30382	275
991	30409	245
992	30437	214
993	30466	183
994	30494	153
995	30521	122
996	30550	91
997	30581	61
998	30614	30
999	30644	0
